Sourced from:,http://maternalheart.org/propers-saints.html,,,https://bbloomf.github.io/jgabc/propers.html,,,,
Date,Feast,Introitus,Graduale,Tractus,Alleluia,Alleluia PT,Offertorium,Communio
Apr 25,St Mark,protexisti me,,,confitebuntur,posuisti domine,confitebuntur,laetabitur justus
Apr 26,,,,,,,,
Apr 27,,,,,,,,
Apr 28,,,,,,,,
Apr 29,,,,,,,,
Apr 30,,,,,,,,
May 1,,,,,,,,
May 2,St Athanasius,in medio,,,tu es sacerdos,beatus vir qui suffert,inveni david,quod dico vobis
May 3,,,,,,,,
May 4,,,,,,,,
May 5,,,,,,,,
May 6,,,,,,,,
May 7,,,,,,,,
May 8,,,,,,,,
May 9,St Gregory Nazianzen,in medio,os justi,,amavit eum,justus germinabit,justus ut palma,fidelis servus
May 10,,,,,,,,
May 11,,,,,,,,
May 12,,,,,,,,
May 13,,,,,,,,
May 14,,,,,,,,
May 15,,,,,,,,
May 16,St Ubaldus,statuit,ecce sacerdos,,tu es sacerdos,hic est sacerdos,inveni david,fidelis servus
May 17,,,,,,,,
May 18,,,,,,,,
May 19,,,,,,,,
May 20,,,,,,,,
May 21,,,,,,,,
May 22,,,,,,,,
May 23,,,,,,,,
May 24,,,,,,,,
May 25,,,,,,,,
May 26,,,,,,,,
May 27,,,,,,,,
May 28,,,,,,,,
May 29,,,,,,,,
May 30,St Felix,si diligis me,exaltent eum,,tu es petrus,,ecce dedi,tu es petrus
May 31,,,,,,,,
Jun 1,,,,,,,,
Jun 2,,,,,,,,
Jun 3,,,,,,,,
Jun 4,,,,,,,,
Jun 5,,,,,,,,
Jun 6,St Norbert,statuit,ecce sacerdos,,tu es sacerdos,,inveni david,fidelis servus
Jun 7,,,,,,,,
Jun 8,,,,,,,,
Jun 9,,,,,,,,
Jun 10,,,,,,,,
Jun 11,,,,,,,,
Jun 12,,,,,,,,
Jun 13,St Anthony of Padua,in medio,os justi,,amavit eum,,justus ut palma,fidelis servus
Jun 14,,,,,,,,
Jun 15,,,,,,,,
Jun 16,,,,,,,,
Jun 17,,,,,,,,
Jun 18,,,,,,,,
Jun 19,,,,,,,,
Jun 20,St Silverius,si diligis me,exaltent eum,,tu es petrus,,ecce dedi,tu es petrus
Jun 21,,,,,,,,
Jun 22,,,,,,,,
Jun 23,,,,,,,,
Jun 24,,,,,,,,
Jun 25,,,,,,,,
Jun 26,,,,,,,,
Jun 27,,,,,,,,
Jun 28,,,,,,,,
Jun 29,,,,,,,,
Jun 30,,,,,,,,
Jul 1,,,,,,,,
Jul 2,,,,,,,,
Jul 3,,,,,,,,
Jul 4,,,,,,,,
Jul 5,,,,,,,,
Jul 6,,,,,,,,
Jul 7,,,,,,,,
Jul 8,,,,,,,,
Jul 9,,,,,,,,
Jul 10,,,,,,,,
Jul 11,,,,,,,,
Jul 12,,,,,,,,
Jul 13,,,,,,,,
Jul 14,,,,,,,,
Jul 15,,,,,,,,
Jul 16,,,,,,,,
Jul 17,,,,,,,,
Jul 18,,,,,,,,
Jul 19,,,,,,,,
Jul 20,,,,,,,,
Jul 21,,,,,,,,
Jul 22,,,,,,,,
Jul 23,,,,,,,,
Jul 24,,,,,,,,
Jul 25,,,,,,,,
Jul 26,,,,,,,,
Jul 27,,,,,,,,
Jul 28,,,,,,,,
Jul 29,,,,,,,,
Jul 30,,,,,,,,
Jul 31,,,,,,,,
Aug 1,,,,,,,,
Aug 2,,,,,,,,
Aug 3,,,,,,,,
Aug 4,,,,,,,,
Aug 5,Dedication of the Church of St Mary of the Snows,salve sancta parens,benedicta et venerabilis,,post partum,,ave maria... et benedictus,beata viscera
Aug 6,,,,,,,,
Aug 7,,,,,,,,
Aug 8,,,,,,,,
Aug 9,,,,,,,,
Aug 10,,,,,,,,
Aug 11,St Tiburtius and St Susanna,salus autem,clamaverunt,,te martyrum,,justorum animae,quod dico vobis
Aug 12,,,,,,,,
Aug 13,Ss Hippolytus and Cassian,salus autem,clamaverunt,,te martyrum,,justorum animae,quod dico vobis
Aug 14,,,,,,,,
Aug 15,,,,,,,,
Aug 16,,,,,,,,
Aug 17,,,,,,,,
Aug 18,,,,,,,,
Aug 19,,,,,,,,
Aug 20,,,,,,,,
Aug 21,,,,,,,,
Aug 22,,,,,,,,
Aug 23,,,,,,,,
Aug 24,,,,,,,,
Aug 25,,,,,,,,
Aug 26,,,,,,,,
Aug 27,,,,,,,,
Aug 28,,,,,,,,
Aug 29,,,,,,,,
Aug 30,,,,,,,,
Aug 31,,,,,,,,
Sep 1,,,,,,,,
Sep 2,,,,,,,,
Sep 3,,,,,,,,
Sep 4,,,,,,,,
Sep 5,St Lawrence Justinian,statuit,ecce sacerdos,,tu es sacerdos,,inveni david,fidelis servus
Sep 6,,,,,,,,
Sep 7,,,,,,,,
Sep 8,,,,,,,,
Sep 9,,,,,,,,
Sep 10,,,,,,,,
Sep 11,Ss Protus and Hyacinth,salus autem,clamaverunt,,te martyrum,,justorum animae,quod dico vobis
Sep 12,Most Holy Name of Mary,vultum tuum,benedicta et venerabilis,,post partum,,ave maria... et benedictus,beata viscera
Sep 13,,,,,,,,
Sep 14,,,,,,,,
Sep 15,,,,,,,,
Sep 16,,,,,,,,
Sep 17,,,,,,,,
Sep 18,,,,,,,,
Sep 19,St Januarius,salus autem,clamaverunt,,te martyrum,,justorum animae,quod dico vobis
Sep 20,,,,,,,,
Sep 21,,,,,,,,
Sep 22,,,,,,,,
Sep 23,St Linus,si diligis me,exaltent eum,,tu es petrus,,ecce dedi,tu es petrus
Sep 24,,,,,,,,
Sep 25,,,,,,,,
Sep 26,Ss Cyprian and Justina,salus autem,clamaverunt,,te martyrum,,justorum animae,quod dico vobis
Sep 27,,,,,,,,
Sep 28,,,,,,,,
Sep 29,,,,,,,,
Sep 30,,,,,,,,
Oct 1,,,,,,,,
Oct 2,,,,,,,,
Oct 3,St Theresa of the Child Jesus,veni de libano,confiteor tibi,,quasi rosa,,magnificat,circumduxit eam
Oct 4,,,,,,,,
Oct 5,St Placid and Companions,salus autem,clamaverunt,,te martyrum,,justorum animae,quod dico vobis
Oct 6,,,,,,,,
Oct 7,,,,,,,,
Oct 8,,,,,,,,
Oct 9,,,,,,,,
Oct 10,St Francis Borgia,os justi,domine praevenisti,,justus ut palma,,desiderium animae,fidelis servus
Oct 11,,,,,,,,
Oct 12,,,,,,,,
Oct 13,,,,,,,,
Oct 14,,,,,,,,
Oct 15,,,,,,,,
Oct 16,,,,,,,,
Oct 17,St Margaret Mary Alacoque,sub umbra,aquae multae,,ego dilecto,,quid bonum,ego dilecto
Oct 18,,,,,,,,
Oct 19,,,,,,,,
Oct 20,,,,,,,,
Oct 21,,,,,,,,
Oct 22,,,,,,,,
Oct 23,,,,,,,,
Oct 24,St Raphael,benedicite dominum,angelis domini,,in conspectu... adorabo,,stetit angelus,benedicite omnes angeli
Oct 25,,,,,,,,
Oct 26,,,,,,,,
Oct 27,,,,,,,,
Oct 28,,,,,,,,
Oct 29,,,,,,,,
Oct 30,,,,,,,,
Oct 31,,,,,,,,
Nov 1,,,,,,,,
Nov 2,,,,,,,,
Nov 3,,,,,,,,
Nov 4,,,,,,,,
Nov 5,,,,,,,,
Nov 6,,,,,,,,
Nov 7,,,,,,,,
Nov 8,,,,,,,,
Nov 9,,,,,,,,
Nov 10,,,,,,,,
Nov 11,,,,,,,,
Nov 12,St Martin I,si diligis me,exaltent eum,,tu es petrus,,ecce dedi,tu es petrus
Nov 13,,,,,,,,
Nov 14,St Josaphat,gaudeamus... josaphat,inveni david,,hic est sacerdos,,majorem caritatem,ego sum pastor
Nov 15,,,,,,,,
Nov 16,,,,,,,,
Nov 17,,,,,,,,
Nov 18,,,,,,,,
Nov 19,,,,,,,,
Nov 20,,,,,,,,
Nov 21,The Presentation of BVM,salve sancta parens,benedicta et venerabilis,,post partum,,ave maria,beata viscera
Nov 22,,,,,,,,
Nov 23,,,,,,,,
Nov 24,,,,,,,,
Nov 25,,,,,,,,
Nov 26,,,,,,,,
Nov 27,,,,,,,,
Nov 28,,,,,,,,
Nov 29,,,,,,,,
Nov 30,St Andrew,mihi autem nimis,constitues eos,,dilexit andream,,mihi autem nimis,venite post me
Dec 2,St Bibiana,me exspectaverunt,adjuvabit eam,,haec est virgo,,diffusa est,feci judicium
Dec 3,St Francis Xavier,loquebar ps. laudate,justus ut palma,,beatus vir qui suffert,,veritas mea,beatus servus
Dec 4,St Peter Chrysologus,in medio,ecce sacerdos,,tu es sacerdos,,justus ut palma,domine quinque talenta
Dec 5,St Sabbas,os justi,justus ut palma,,beatus vir qui suffert,,veritas mea,beatus servus
